SiteID,Sitename2,Sitename3,WA_County,Lat,Long,LCC_E_km,LCC_N_km,AP3_XCell,AP3_YCell,AP4_XCell,AP4_YCell
530530029,Tacoma_L,TcL,Pierce,47.1864,-122.4517,-106.2892376,-193.9710268,20,64,59,188
530530031,Tacoma_Alex,TcA,Pierce,47.2656,-122.3858,-101.3174842,-185.5511404,21,65,61,190
530530033,Tacoma_21,Tc21,Pierce,,,,,,,,
530530034,Tacoma_M_PDX,TcM,Pierce,,,,,,,,
530531008,LaGrande,LgR,Pierce,46.843056,-122.3175,-97.07121561,-231.008935,21,61,62,178
530531010,MtRainier_Tahoma,MrT,Pierce,46.75907225,-122.1220668,-82.79943423,-240.2456928,22,60,65,176
530531018,Puyallup_128,PSH,Pierce,47.140375,-122.299475,-95.22503602,-199.1051093,21,63,62,186
530531020,Puyallup_Chief_Leschi_Sch,PyCL,Pierce,,,,,,,,
530531022,Puyallup_Tribe,PyT,Pierce_Puyallup_Tribe,47.2053,-122.3452,-98.4582742,-192.0775605,21,64,61,188
530570011,Anacortes_202,Ana2,Skagit,48.52059,-122.61428,-115.3006,-50.40005,19,76,57,223
530570013,Marblemount,,,48.539444,-121.446944,-31.91384184,-49.44614229,26,76,78,224
530570014,MtVernon_Laven,MVL,Skagit,,,,,,,,
530570015,MtVernon_2nd,MV2,Skagit,48.41022625,-122.337663,-95.74342613,-62.62889708,21,75,62,220
530579999,Anacortes_Bmew,AnaB,Skagit,48.4654,-122.56,-112.4806388,-54.90766218,20,75,58,222
530590001,Mt_Zion,MtZ,Skamania,,,,,,,,
530590002,Stevenson,Stv,Skamania,,,,,,,,
530590004,Bonneville_Dam,BnV,Skamania,,,,,,,,
530610005,Lynnwood,SnM,Snohomish,47.8064,-122.3167,-95.31048298,-127.5456175,21,69,62,204
530610011,Tulalip,Tll,Snohomish,48.069,-122.275,-91.84283781,-99.37763517,21,72,63,211
